feedrate,clamp_pressure,tool_condition,machining_finalized,passed_visual_inspection,X1_delVal,X1_delAcc,X1_OutputPower,Y1_delVel,Y1_delAcc,Y1_OutputPower,Z1_delVel,Z1_delAcc,S1_delVel,S1_delAcc,S1_OutputPower,M1_CURRENT_FEEDRATE,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandVelocity,X1_CommandAcceleration,X1_OutputPower,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_OutputPower,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandVelocity,Z1_CommandAcceleration,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandVelocity,S1_CommandAcceleration,S1_OutputPower,M1_CURRENT_FEEDRATE
6,4,unworn,yes,yes,0.001209039,0.02107536,0.246460033,0.007058511,0.092975167,0.045581473,0.000788296,0.012544416,0.006805964,0.436331125,0.400476655,0.27411472,0.287690628,0.515371874,0.286481589,0.494296514,0.246460033,0.814534303,0.584771097,0.821592814,0.49179593,0.045581473,0.504599264,0.514219057,0.50538756,0.501674641,0.993194036,0.436331133,1,8.28E-09,0.400476655,
20,4,unworn,yes,yes,0.003437979,0.0156939,0.105819909,0.015364114,0.035066693,0.039392757,1.80E-07,0.017566172,0.009358743,0.426632796,0.179882904,0.168316832,0.286217278,0.490605838,0.282779299,0.506299738,0.105819909,0.835038854,0.464985692,0.850402968,0.500052385,0.039392757,0.499406121,0.482433828,0.499405941,0.5,0.563154123,0.426632805,0.55379538,9.31E-09,0.179882904,0.168316832
6,3,unworn,yes,yes,0.003437979,0.0156939,0.105819909,0.015364114,0.035066693,0.039392757,1.80E-07,0.017566172,0.009358743,0.426632796,0.179882904,0.168316832,0.286217278,0.490605838,0.282779299,0.506299738,0.105819909,0.835038854,0.464985692,0.850402968,0.500052385,0.039392757,0.499406121,0.482433828,0.499405941,0.5,0.563154123,0.426632805,0.55379538,9.31E-09,0.179882904,0.168316832
6,2.5,unworn,no,,9.86E-05,0.631792375,0.012467814,0.000895491,0.226735224,0.062530214,0.000465954,0.166615385,0.001123886,0.387421733,0.126424666,0.380952381,0.273971276,0.349777015,0.274069858,0.98156939,0.012467814,0.409925244,0.442793392,0.410820735,0.669528616,0.062530214,0.403094389,0.499948718,0.402628435,0.333333333,0.3845904,0.387421734,0.385714286,6.27E-10,0.126424666,0.380952381
20,3,unworn,no,,0.000449645,0.025254476,0.172508689,0.001128038,0.024070637,0.092170057,0.001249027,0.128203356,0.001426111,0.306763442,0.076350158,0.668831169,0.237975787,0.528908872,0.238425432,0.503654396,0.172508689,0.325770628,0.165455753,0.32464259,0.18952639,0.092170057,0.344928048,0.371796644,0.343679021,0.5,0.221206331,0.306763452,0.21978022,9.64E-09,0.076350158,0.668831169
6,4,worn,yes,no,0.002078127,0.048030548,0.042252084,0.016323125,0.052149194,0.026848122,0.00115063,0.009401513,0.017309295,0.452602359,0.328392556,0.135658915,0.29706193,0.536750512,0.294983803,0.488719964,0.042252084,0.838997905,0.540313059,0.85532103,0.488163865,0.026848122,0.489547044,0.511339497,0.490697674,0.501937984,0.901030225,0.452602368,0.88372093,9.41E-09,0.328392556,0.135658915
20,4,worn,no,,0.005069462,0.012239626,0.187238781,0.002963003,0.049896187,0.126959662,0.001177165,0.008373894,0.002999932,0.491822401,0.22971151,0.144144144,0.318528124,0.49693368,0.313458662,0.484694054,0.187238781,0.422439539,0.45149075,0.419476536,0.501386937,0.126959662,0.462078066,0.501617137,0.460900901,0.493243243,0.578081149,0.49182241,0.581081081,9.36E-09,0.22971151,0.144144144
20,4,worn,yes,no,0.001035588,0.051147316,0.266620959,0.008165627,0.039991647,0.218781476,0.002621287,0.011134276,0.003014353,0.542975134,0.229443472,0.159663866,0.319514645,0.453388188,0.318479057,0.504535504,0.266620959,0.682103842,0.478130916,0.690269469,0.518122563,0.218781476,0.524437537,0.523739318,0.527058824,0.512605042,0.614632706,0.542975144,0.617647059,9.98E-09,0.229443472,0.159663866
15,4,worn,yes,no,4.62E-05,0.028754544,0.111685764,0.006223674,0.017835647,0.255115639,0.006252022,0.247442238,0.001579862,0.443942526,0.188691643,0.48630137,0.273864978,0.470628555,0.273818811,0.499383099,0.111685764,0.726795032,0.48613423,0.733018706,0.503969877,0.255115639,0.510361611,0.750866896,0.504109589,0.503424658,0.525817398,0.443942536,0.52739726,9.91E-09,0.188691643,0.48630137
12,4,worn,yes,no,0.006230906,0.013136271,0.073383827,0.009755025,0.038119078,0.194897606,0.00160448,0.007468366,0.011088536,0.440305448,0.102034769,0.706563707,0.278989735,0.481971282,0.272758829,0.495107553,0.073383827,0.687868114,0.46485094,0.697623139,0.502970018,0.194897606,0.485548882,0.674492305,0.483944402,0.667023939,0.304524829,0.440305458,0.293436293,9.61E-09,0.102034769,0.706563707
3,4,unworn,yes,yes,0.000683217,0.006030608,0.143700402,0.008916447,0.021525327,0.02155507,0.001038791,0.018457873,0.000567481,0.441681268,0.307339063,0.125813449,0.281767965,0.506354235,0.281084748,0.500323627,0.143700402,0.897323816,0.520980329,0.906240263,0.499455002,0.02155507,0.494839225,0.518457873,0.493800434,0.5,0.871571457,0.452527265,0.871003976,0.010845997,0.307339063,0.125813449
3,3,unworn,yes,yes,0.00167149,0.006085359,0.178387353,0.013833875,0.146134153,0.046001849,0.000495126,0.001995042,0.001580751,0.424837714,0.276941299,0.145374449,0.275323008,0.506100008,0.273651518,0.500014649,0.178387353,0.873724962,0.588497193,0.887558837,0.44236304,0.046001849,0.487362967,0.501995042,0.486867841,0.5,0.856206302,0.424837724,0.854625551,9.56E-09,0.276941299,0.145374449
3,4,worn,yes,yes,0.000512016,0.009138735,0.070932234,0.008077316,0.002573928,0.016021306,1.88E-05,0.00198217,0.004576945,0.548594558,0.341023489,0.060674157,0.290535486,0.491278336,0.29002347,0.500417071,0.070932234,0.903083136,0.489368751,0.911160452,0.486794823,0.016021306,0.499307041,0.50198217,0.499325843,0.5,0.934748898,0.548594568,0.939325843,9.52E-09,0.341023489,0.060674157
