X1_ActualPosition,X1_ActualVelocity,X1_ActualAcceleration,X1_CommandPosition,X1_CommandVelocity,X1_CommandAcceleration,X1_CurrentFeedback,X1_DCBusVoltage,X1_OutputCurrent,X1_OutputVoltage,X1_OutputPower,Y1_ActualPosition,Y1_ActualVelocity,Y1_ActualAcceleration,Y1_CommandPosition,Y1_CommandVelocity,Y1_CommandAcceleration,Y1_CurrentFeedback,Y1_DCBusVoltage,Y1_OutputCurrent,Y1_OutputVoltage,Y1_OutputPower,Z1_ActualPosition,Z1_ActualVelocity,Z1_ActualAcceleration,Z1_CommandPosition,Z1_CommandVelocity,Z1_CommandAcceleration,Z1_CurrentFeedback,Z1_DCBusVoltage,Z1_OutputCurrent,Z1_OutputVoltage,S1_ActualPosition,S1_ActualVelocity,S1_ActualAcceleration,S1_CommandPosition,S1_CommandVelocity,S1_CommandAcceleration,S1_CurrentFeedback,S1_DCBusVoltage,S1_OutputCurrent,S1_OutputVoltage,S1_OutputPower,S1_SystemInertia,M1_CURRENT_PROGRAM_NUMBER,M1_sequence_number,M1_CURRENT_FEEDRATE,Machining_Process
141.0,-0.2,-100.0,141.0,0.0,0.0,-2.45,0.0512,327.0,2.69,3.03e-05,96.6,6.05,-75.0,96.7,6.0,0.0,2.72,0.0578,326.0,12.7,0.000714,29.7,0.025,6.25,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1540.0,53.4,45.3,-1540.0,53.3,0.0,18.7,0.765,323.0,115.0,0.145,12.0,1.0,2.0,6.0,Prep
141.0,-0.3,-144.0,141.0,0.0,0.0,-1.4,0.0479,327.0,3.18,1.41e-05,97.2,6.28,18.8,97.3,6.0,0.0,2.93,0.0756,326.0,12.4,0.000893,29.7,0.025,12.5,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1530.0,53.3,11.9,-1530.0,53.3,0.0,24.8,1.0,322.0,117.0,0.193,12.0,1.0,26.0,6.0,Prep
141.0,-0.25,-131.0,141.0,0.0,0.0,-2.29,0.0483,327.0,2.1,1.46e-05,97.8,6.1,68.7,97.9,6.0,0.0,4.96,0.108,325.0,14.0,0.00138,29.7,0.025,12.5,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1530.0,53.4,14.1,-1530.0,53.3,0.0,17.8,0.881,323.0,114.0,0.17,12.0,1.0,26.0,6.0,Prep
141.0,-0.175,-93.7,141.0,0.0,0.0,-0.851,0.0488,327.0,4.08,7.1e-06,98.4,5.97,-12.5,98.5,6.0,0.0,5.71,0.114,326.0,14.8,0.00147,29.7,-0.025,-6.25,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1520.0,53.3,-16.1,-1520.0,53.3,9.54e-07,21.5,0.751,323.0,117.0,0.144,12.0,1.0,26.0,6.0,Prep
141.0,-0.2,-106.0,141.0,0.0,0.0,-2.29,0.0502,327.0,2.17,1.52e-05,99.0,5.93,-75.0,99.1,6.0,0.0,6.06,0.108,325.0,14.5,0.0013,29.7,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1520.0,53.3,-7.06,-1520.0,53.3,-9.54e-07,21.6,0.989,322.0,115.0,0.19,12.0,1.0,26.0,6.0,Prep
141.0,-0.2,-100.0,141.0,0.0,0.0,-1.35,0.0499,327.0,3.42,2.23e-05,99.6,6.35,37.5,99.7,6.0,0.0,6.9,0.105,325.0,11.2,0.00134,29.7,0.025,12.5,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,53.4,54.9,-1510.0,53.3,0.0,17.0,0.793,322.0,118.0,0.151,12.0,1.0,26.0,6.0,Prep
141.0,-0.2,-100.0,141.0,0.0,0.0,-1.05,0.0497,327.0,3.74,7.39e-06,100.0,6.45,62.5,100.0,6.0,0.0,4.41,0.111,325.0,15.0,0.00144,29.7,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1510.0,53.3,-39.6,-1510.0,53.3,0.0,26.2,0.834,322.0,116.0,0.159,12.0,1.0,26.0,6.0,Prep
141.0,-0.2,-100.0,141.0,0.0,0.0,-0.601,0.0519,327.0,3.84,7.31e-06,101.0,6.1,50.0,101.0,3.33,-653.0,8.13,0.159,325.0,15.9,0.00202,29.7,0.025,6.25,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1500.0,53.4,59.4,-1500.0,53.3,0.0,18.7,0.908,322.0,115.0,0.174,12.0,1.0,26.0,6.0,Prep
141.0,-0.225,-113.0,141.0,0.0,0.0,-2.74,0.0501,327.0,1.01,7.39e-06,101.0,6.28,68.7,101.0,6.0,0.0,1.79,0.058,325.0,12.6,0.000697,29.7,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1490.0,53.3,-2.25,-1490.0,53.3,9.54e-07,19.8,0.844,322.0,117.0,0.163,12.0,1.0,26.0,6.0,Prep
141.0,-0.25,-138.0,141.0,0.0,0.0,-1.99,0.0506,327.0,2.4,2.26e-05,102.0,6.1,50.0,102.0,6.0,0.0,4.55,0.0841,325.0,12.9,0.00108,29.7,0.0,0.0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,-1490.0,53.3,-53.9,-1490.0,53.3,-9.54e-07,20.7,0.873,323.0,115.0,0.167,12.0,1.0,28.0,6.0,Prep
