median_x,median_y,median_z,condition,Operation_Number_encoded,Machine_Number_encoded
-9.0,27.0,-1036.0,1,0.9880952380952381,0.9344894026974951
-9.0,27.0,-1036.0,1,0.9880952380952381,0.9344894026974951
-7.0,29.0,-1030.0,1,0.9880952380952381,0.9344894026974951
-9.0,37.0,-1020.0,1,0.9880952380952381,0.9344894026974951
-9.0,39.0,-1015.0,1,0.9880952380952381,0.9344894026974951
-9.0,35.0,-1024.0,1,0.9880952380952381,0.9344894026974951
-9.0,31.0,-1022.0,1,0.9880952380952381,0.9344894026974951
-9.0,27.0,-1038.0,1,0.9880952380952381,0.9344894026974951
-7.0,17.0,-1034.0,1,0.9880952380952381,0.9344894026974951
-7.0,33.0,-1036.0,1,0.9880952380952381,0.9344894026974951
-7.0,37.0,-1028.0,1,0.9880952380952381,0.9344894026974951
-7.0,33.0,-1036.0,1,0.9880952380952381,0.9344894026974951
-7.0,29.0,-1038.0,1,0.9880952380952381,0.9344894026974951
-9.0,21.0,-1007.0,1,0.9880952380952381,0.9344894026974951
-11.0,19.0,-1007.0,1,0.9880952380952381,0.9344894026974951
5.0,35.0,-1050.0,1,0.9880952380952381,0.9344894026974951
7.0,39.0,-1050.0,1,0.9880952380952381,0.9344894026974951
5.0,35.0,-1048.0,1,0.9880952380952381,0.9344894026974951
5.0,39.0,-1046.0,1,0.9880952380952381,0.9344894026974951
5.0,39.0,-1050.0,1,0.9880952380952381,0.9344894026974951
-1.0,39.0,-1011.0,1,0.9880952380952381,0.9344894026974951
-3.0,35.0,-1013.0,1,0.9880952380952381,0.9344894026974951
-11.0,13.0,-1001.0,1,0.9880952380952381,0.9344894026974951
-11.0,31.0,-989.0,1,0.9880952380952381,0.9344894026974951
-11.0,33.0,-991.0,1,0.9880952380952381,0.9344894026974951
-11.0,21.0,-1005.0,1,0.9880952380952381,0.9344894026974951
-9.0,21.0,-1005.0,1,0.9880952380952381,0.9344894026974951
-9.0,31.0,-993.0,1,0.9880952380952381,0.9344894026974951
-9.0,29.0,-999.0,1,0.9880952380952381,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-7.0,23.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,19.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,19.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-9.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-9.0,25.0,-1018.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-9.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1016.0,1,0.951048951048951,0.9344894026974951
-9.0,23.0,-1016.0,1,0.951048951048951,0.9344894026974951
9.0,31.0,-1040.0,1,0.951048951048951,0.9344894026974951
9.0,29.0,-1040.0,1,0.951048951048951,0.9344894026974951
9.0,27.0,-1040.0,1,0.951048951048951,0.9344894026974951
9.0,27.0,-1038.0,1,0.951048951048951,0.9344894026974951
9.0,29.0,-1040.0,1,0.951048951048951,0.9344894026974951
-7.0,31.0,-1015.0,1,0.951048951048951,0.9344894026974951
-5.0,31.0,-1018.0,1,0.951048951048951,0.9344894026974951
-7.0,31.0,-1015.0,1,0.951048951048951,0.9344894026974951
-7.0,31.0,-1016.0,1,0.951048951048951,0.9344894026974951
-13.0,23.0,-1009.0,1,0.951048951048951,0.9344894026974951
-11.0,27.0,-1005.0,1,0.951048951048951,0.9344894026974951
-9.0,25.0,-1007.0,1,0.951048951048951,0.9344894026974951
-13.0,23.0,-1009.0,1,0.951048951048951,0.9344894026974951
-13.0,25.0,-1009.0,1,0.951048951048951,0.9344894026974951
-11.0,25.0,-1009.0,1,0.951048951048951,0.9344894026974951
-11.0,31.0,-1005.0,1,0.951048951048951,0.9344894026974951
-11.0,31.0,-1009.0,1,0.951048951048951,0.9344894026974951
-11.0,29.0,-1007.0,1,0.951048951048951,0.9344894026974951
-11.0,29.0,-1009.0,1,0.951048951048951,0.9344894026974951
-11.0,29.0,-1007.0,1,0.951048951048951,0.9344894026974951
-11.0,21.0,-1005.0,1,0.951048951048951,0.9344894026974951
-11.0,23.0,-1009.0,1,0.951048951048951,0.9344894026974951
-13.0,21.0,-1011.0,1,0.951048951048951,0.9344894026974951
-13.0,21.0,-1009.0,1,0.951048951048951,0.9344894026974951
1.0,33.0,-1038.0,0,0.951048951048951,0.9344894026974951
5.0,35.0,-1069.0,0,0.951048951048951,0.9344894026974951
-11.0,23.0,-1016.0,1,0.9736842105263158,0.9344894026974951
