x,y,z
0.0,-81.0,-1079.0
-44.0,74.0,-1054.0
-1.0,17.0,-1065.0
39.0,-121.0,-1001.0
42.0,15.0,-1020.0
3.0,95.0,-1052.0
-1.0,212.0,-1028.0
19.0,-185.0,-1065.0
48.0,-271.0,-1087.0
-58.0,-156.0,-974.0
-35.0,148.0,-974.0
1.0,130.0,-1046.0
97.0,-15.0,-1077.0
5.0,-83.0,-1018.0
-68.0,87.0,-1016.0
-64.0,40.0,-1075.0
52.0,-58.0,-1132.0
68.0,-226.0,-1071.0
-27.0,-13.0,-972.0
-31.0,191.0,-1015.0
-9.0,201.0,-1050.0
64.0,9.0,-1067.0
39.0,-230.0,-1073.0
-33.0,-206.0,-1011.0
-85.0,-35.0,-979.0
-9.0,122.0,-1001.0
40.0,78.0,-1011.0
130.0,66.0,-1093.0
-15.0,-107.0,-1050.0
-48.0,99.0,-1020.0
-37.0,60.0,-1042.0
156.0,0.0,-1054.0
148.0,-132.0,-1038.0
203.0,-68.0,-1005.0
128.0,62.0,-1018.0
204.0,249.0,-979.0
257.0,74.0,-1030.0
527.0,-179.0,-1059.0
552.0,-210.0,-1073.0
564.0,-218.0,-1065.0
521.0,85.0,-958.0
417.0,259.0,-933.0
653.0,265.0,-1038.0
683.0,-11.0,-1138.0
931.0,-214.0,-1143.0
759.0,-162.0,-1036.0
661.0,-62.0,-946.0
681.0,80.0,-933.0
763.0,163.0,-1015.0
888.0,148.0,-1028.0
862.0,-64.0,-1052.0
1079.0,-195.0,-1018.0
909.0,-210.0,-944.0
862.0,-66.0,-895.0
683.0,183.0,-923.0
903.0,171.0,-1020.0
1177.0,37.0,-1083.0
1022.0,85.0,-1087.0
1202.0,9.0,-1085.0
1114.0,-171.0,-1124.0
1292.0,-275.0,-1091.0
935.0,-3.0,-1022.0
1110.0,226.0,-1036.0
1149.0,195.0,-1134.0
1317.0,-39.0,-1184.0
1352.0,-113.0,-1022.0
1194.0,-150.0,-1020.0
1333.0,-144.0,-1091.0
1382.0,0.0,-1087.0
1122.0,27.0,-974.0
1009.0,292.0,-931.0
1093.0,132.0,-1143.0
1190.0,-13.0,-1147.0
1097.0,-56.0,-964.0
1247.0,-160.0,-995.0
1259.0,142.0,-1108.0
1524.0,-29.0,-1077.0
1321.0,138.0,-933.0
1220.0,3.0,-964.0
1301.0,-169.0,-1095.0
1374.0,-162.0,-1069.0
1075.0,31.0,-936.0
1153.0,27.0,-960.0
1161.0,60.0,-1097.0
1282.0,101.0,-1075.0
1255.0,50.0,-1098.0
1179.0,-50.0,-991.0
1305.0,-121.0,-1085.0
1432.0,-224.0,-1114.0
1223.0,232.0,-958.0
1346.0,115.0,-944.0
1251.0,103.0,-1139.0
1395.0,-138.0,-1081.0
1167.0,-314.0,-1003.0
970.0,-29.0,-917.0
1077.0,-56.0,-1108.0
1374.0,-62.0,-1102.0
1155.0,368.0,-864.0
1239.0,46.0,-1003.0
1344.0,76.0,-1046.0
1569.0,-156.0,-1153.0
1346.0,-445.0,-1104.0
1286.0,66.0,-878.0
1413.0,124.0,-1087.0
1403.0,-21.0,-1165.0
1339.0,72.0,-897.0
1159.0,-210.0,-847.0
1229.0,-7.0,-1026.0
1499.0,-42.0,-1050.0
1284.0,-247.0,-1052.0
1333.0,232.0,-864.0
1401.0,5.0,-1081.0
1426.0,11.0,-1272.0
1481.0,-203.0,-923.0
1233.0,-160.0,-1007.0
1549.0,-93.0,-1059.0
1483.0,-101.0,-1194.0
1301.0,275.0,-1046.0
1042.0,87.0,-935.0
1212.0,-345.0,-1262.0
1540.0,-212.0,-1065.0
1229.0,-302.0,-907.0
1294.0,-15.0,-800.0
1241.0,312.0,-913.0
1555.0,46.0,-1274.0
1409.0,-85.0,-1102.0
1255.0,-46.0,-858.0
1549.0,-351.0,-1032.0
1186.0,-175.0,-1120.0
1653.0,1.0,-999.0
1262.0,144.0,-1198.0
1590.0,91.0,-1022.0
997.0,-17.0,-1079.0
1489.0,-267.0,-999.0
1491.0,-583.0,-1013.0
1376.0,97.0,-1054.0
1393.0,331.0,-895.0
1364.0,81.0,-1020.0
1348.0,72.0,-966.0
1448.0,-50.0,-1061.0
1643.0,-515.0,-1048.0
921.0,-142.0,-1016.0
1577.0,74.0,-903.0
1469.0,171.0,-1136.0
1391.0,11.0,-1155.0
1245.0,25.0,-1083.0
1387.0,-300.0,-1028.0
1210.0,-396.0,-1032.0
1657.0,-39.0,-1042.0
1327.0,193.0,-997.0
1097.0,407.0,-878.0
1346.0,119.0,-1009.0
1651.0,-199.0,-1301.0
1399.0,-411.0,-942.0
1134.0,-80.0,-831.0
1225.0,-29.0,-1065.0
1376.0,160.0,-1298.0
1387.0,249.0,-991.0
1260.0,9.0,-938.0
1374.0,-366.0,-1052.0
1173.0,-62.0,-1083.0
1549.0,-54.0,-823.0
1419.0,62.0,-1018.0
1421.0,89.0,-1134.0
1421.0,111.0,-1022.0
1536.0,-171.0,-917.0
1106.0,-366.0,-899.0
1624.0,76.0,-1009.0
1448.0,-23.0,-1122.0
1309.0,-89.0,-1138.0
1169.0,392.0,-1009.0
1344.0,-126.0,-1097.0
1339.0,-372.0,-995.0
1157.0,87.0,-981.0
1184.0,-68.0,-854.0
1288.0,345.0,-985.0
1436.0,-85.0,-1139.0
1134.0,122.0,-1085.0
1432.0,-197.0,-813.0
1052.0,-222.0,-968.0
1132.0,136.0,-1100.0
1214.0,-101.0,-1026.0
1042.0,3.0,-1116.0
618.0,148.0,-1161.0
1147.0,-240.0,-1173.0
979.0,-21.0,-931.0
739.0,411.0,-923.0
892.0,-81.0,-1155.0
878.0,15.0,-1069.0
1030.0,-171.0,-1059.0
499.0,-19.0,-1052.0
862.0,-119.0,-774.0
532.0,-173.0,-1052.0
571.0,447.0,-1046.0
681.0,-144.0,-1061.0
284.0,144.0,-1141.0
583.0,-97.0,-956.0
273.0,-284.0,-1104.0
265.0,-39.0,-962.0
447.0,169.0,-1003.0
265.0,435.0,-1214.0
242.0,320.0,-1022.0
257.0,-327.0,-1011.0
191.0,-247.0,-936.0
249.0,-392.0,-954.0
42.0,175.0,-1022.0
271.0,443.0,-1024.0
124.0,314.0,-1048.0
-29.0,-165.0,-958.0
169.0,-300.0,-946.0
44.0,-97.0,-1046.0
277.0,-136.0,-958.0
33.0,357.0,-1054.0
162.0,257.0,-1087.0
76.0,-13.0,-1108.0
58.0,-13.0,-833.0
247.0,-443.0,-944.0
54.0,-23.0,-1079.0
201.0,269.0,-927.0
1.0,70.0,-1009.0
97.0,74.0,-979.0
142.0,-308.0,-1036.0
152.0,-9.0,-909.0
113.0,101.0,-895.0
232.0,56.0,-1040.0
181.0,156.0,-1097.0
150.0,-89.0,-1212.0
103.0,-3.0,-853.0
156.0,-21.0,-880.0
99.0,-7.0,-1032.0
83.0,173.0,-954.0
154.0,-40.0,-1104.0
175.0,-162.0,-1167.0
150.0,-162.0,-979.0
1.0,119.0,-833.0
134.0,134.0,-1005.0
52.0,31.0,-1110.0
238.0,107.0,-1038.0
-95.0,165.0,-1087.0
203.0,-201.0,-1069.0
230.0,-113.0,-927.0
105.0,173.0,-1030.0
93.0,173.0,-1175.0
165.0,185.0,-1112.0
25.0,-11.0,-1081.0
-15.0,-107.0,-1036.0
228.0,-124.0,-974.0
21.0,76.0,-987.0
234.0,199.0,-1095.0
107.0,247.0,-1015.0
132.0,25.0,-1032.0
29.0,-191.0,-954.0
160.0,-121.0,-915.0
193.0,-37.0,-1079.0
3.0,216.0,-1036.0
62.0,193.0,-1073.0
0.0,-148.0,-1057.0
-193.0,-9.0,-913.0
203.0,21.0,-925.0
-124.0,156.0,-956.0
13.0,224.0,-1022.0
-27.0,72.0,-1104.0
-91.0,50.0,-1001.0
124.0,-273.0,-948.0
-5.0,-58.0,-991.0
173.0,25.0,-1020.0
-31.0,296.0,-1110.0
111.0,-117.0,-1100.0
-146.0,5.0,-1005.0
66.0,60.0,-974.0
-74.0,-33.0,-1044.0
-35.0,316.0,-956.0
-144.0,35.0,-1190.0
76.0,17.0,-1046.0
-62.0,76.0,-835.0
121.0,-302.0,-841.0
-74.0,101.0,-991.0
-87.0,39.0,-1059.0
-134.0,78.0,-1102.0
1.0,-66.0,-901.0
-91.0,9.0,-870.0
-44.0,101.0,-915.0
-117.0,11.0,-1034.0
-9.0,185.0,-1091.0
17.0,394.0,-1120.0
48.0,-122.0,-1079.0
46.0,-113.0,-1024.0
66.0,-27.0,-872.0
44.0,-85.0,-940.0
134.0,52.0,-1098.0
-1.0,29.0,-1091.0
-11.0,-13.0,-989.0
35.0,-154.0,-938.0
1.0,17.0,-1032.0
97.0,376.0,-1016.0
97.0,50.0,-1083.0
21.0,58.0,-997.0
148.0,1.0,-1087.0
-42.0,-44.0,-1026.0
138.0,115.0,-981.0
19.0,-60.0,-1161.0
113.0,17.0,-1063.0
31.0,-97.0,-901.0
-33.0,-222.0,-983.0
-132.0,103.0,-1030.0
37.0,132.0,-1132.0
64.0,324.0,-1087.0
244.0,-52.0,-1079.0
-27.0,-9.0,-1001.0
87.0,-292.0,-905.0
68.0,78.0,-1030.0
216.0,222.0,-1188.0
-89.0,40.0,-1145.0
