x,y,z
-1,-81,-1015
-58,13,-1077
29,115,-1022
-13,27,-1016
19,78,-964
-7,-17,-952
-29,148,-985
-29,72,-1052
-21,-50,-1044
-21,-23,-1042
52,21,-956
-21,138,-997
46,115,-1013
-27,44,-1036
-15,-21,-1028
-5,-64,-954
-3,-56,-1011
-29,95,-1018
-9,195,-981
-56,199,-1032
33,80,-1020
-21,-33,-1030
-25,-19,-1003
0,-27,-1016
-31,-50,-1038
-50,9,-1050
-11,-21,-1005
-42,-60,-1026
-19,-152,-997
-54,-187,-1046
-52,-39,-1020
-33,7,-1077
-39,89,-1005
-21,85,-1024
1,-5,-985
-11,-56,-1063
-11,-81,-1069
11,-76,-1052
-1,-60,-1036
33,-40,-972
-5,-99,-1009
25,-122,-1015
-56,-68,-1048
7,58,-1054
-9,72,-1024
-9,3,-964
21,-169,-987
17,-62,-1048
-31,35,-1052
48,117,-1052
-42,150,-1038
91,-64,-948
-56,-27,-1020
56,-58,-993
-78,60,-1054
9,33,-1046
-35,150,-1015
-21,52,-1001
-13,183,-983
-15,-60,-1030
-60,78,-985
-21,5,-1030
7,85,-964
-85,201,-993
29,-46,-968
-83,13,-1036
-11,-105,-991
-35,-64,-997
-62,70,-948
17,169,-931
-58,197,-981
17,201,-981
-54,9,-1032
39,-37,-997
-60,74,-972
89,-29,-915
-60,70,-993
29,-25,-1018
9,-21,-1077
-27,-5,-1054
37,-37,-1001
15,11,-1009
27,62,-1009
-7,169,-1046
-5,214,-1050
-17,163,-1042
-11,70,-1022
7,0,-1020
-56,3,-1042
27,78,-1046
-62,142,-1073
37,54,-1016
-25,0,-1085
13,-19,-1026
-50,171,-1057
-25,298,-1013
-13,261,-1030
-23,-21,-1016
-37,-95,-1018
-19,-113,-1030
-66,126,-1073
-35,165,-974
-35,91,-983
27,-56,-936
-44,-162,-989
-29,35,-983
-11,130,-1026
0,56,-1011
-33,101,-993
29,3,-923
-25,40,-958
7,85,-993
9,-58,-1052
-35,-68,-1044
50,-21,-1022
7,76,-1005
68,152,-948
0,56,-1016
23,-117,-1011
-58,-74,-1054
40,-83,-1018
-52,177,-1024
-17,203,-974
-25,136,-1044
-11,76,-1044
0,-15,-1056
-29,-54,-1032
46,-76,-1042
-54,-27,-1034
40,-33,-1028
-52,150,-1052
7,-33,-1048
-50,-93,-995
-35,-197,-1018
-40,-162,-1013
-66,21,-1040
-29,99,-1015
-31,124,-1015
-35,-21,-976
11,-80,-968
-5,-177,-1003
-31,3,-1016
7,-7,-999
-21,103,-991
17,-52,-942
11,-78,-962
-33,-3,-972
-5,27,-993
-56,78,-1015
21,-89,-981
9,-48,-983
35,27,-974
-13,177,-993
35,80,-1020
-23,54,-1022
31,-109,-999
-33,39,-1016
25,3,-979
-23,126,-1020
3,46,-1056
-21,107,-1016
-25,121,-1059
3,66,-1042
-17,15,-1036
-17,-87,-1016
-29,119,-1050
-19,156,-1048
-62,259,-1042
-23,13,-1034
-29,-105,-1044
-52,-128,-1018
-25,-158,-1044
-33,81,-1052
-29,222,-1075
3,214,-1009
-44,181,-1022
50,0,-1034
-37,-70,-1063
-11,23,-1063
-21,54,-1052
7,58,-993
-25,150,-997
54,-91,-1020
-56,-74,-1077
-25,-95,-1063
-13,-19,-1073
-7,177,-968
-9,181,-983
48,152,-991
-37,156,-1052
27,58,-1003
-13,0,-1024
33,-31,-936
35,-23,-940
-56,85,-1001
19,101,-1009
-76,156,-1042
17,70,-977
-44,5,-946
29,-5,-923
-64,109,-972
42,72,-1007
-56,203,-1034
11,11,-985
-33,-9,-1016
-25,-48,-974
-35,-54,-962
-56,29,-987
11,-56,-1003
-60,11,-999
50,11,-1034
-44,111,-1044
-29,91,-1032
-29,78,-1016
-5,-91,-1003
-44,50,-1040
48,44,-1005
-44,25,-1059
17,46,-1046
9,-87,-1065
-58,-31,-1057
21,-33,-1018
5,-23,-1028
-39,37,-1013
46,64,-993
-52,27,-1073
17,152,-1030
-35,66,-1052
50,35,-1003
-19,-29,-1018
35,-44,-968
-50,-1,-1081
-33,17,-1005
-25,-5,-1046
11,-91,-1016
-15,-54,-1015
21,-29,-981
-17,27,-958
-27,40,-985
-17,21,-1003
-46,-50,-999
-29,-54,-995
-33,39,-972
-15,-31,-946
-1,29,-931
13,-48,-979
-44,5,-987
7,-5,-1018
-27,0,-1028
-11,-21,-993
7,54,-983
-17,39,-976
-1,66,-979
-11,-23,-1030
33,-48,-1038
-52,21,-1069
52,66,-1022
-60,91,-1038
35,25,-1009
-48,-76,-1038
33,-64,-1009
-37,40,-1063
-7,138,-1056
0,154,-1056
0,50,-1042
-29,23,-1038
-21,78,-1040
-42,27,-1042
-21,9,-1028
-7,21,-1040
-17,156,-1003
-7,204,-1048
-33,148,-1018
-21,-87,-1015
-31,-107,-989
-50,-121,-1009
-19,74,-1007
-44,261,-1015
7,197,-968
-25,173,-991
19,-33,-938
-17,37,-1007
-23,15,-991
-21,68,-1013
-35,54,-940
1,31,-995
21,-15,-962
-31,-56,-1026
21,-44,-997
-9,-66,-1044
-7,162,-981
39,144,-997
9,193,-1011
7,78,-1050
-9,-25,-1015
-9,-70,-1046
-13,89,-993
31,60,-997
-42,122,-1026
7,29,-1048
-17,-48,-1071
-35,48,-1077
-25,85,-1015
-11,52,-1011
-62,40,-1007
-11,-56,-1050
-46,232,-1063
7,134,-1054
-29,121,-1057
13,-138,-1050
-29,-173,-1044
-13,-66,-1016
-17,21,-1038
-21,78,-1016
-11,35,-1016
-9,19,-1020
-37,7,-1052
-44,83,-1044
-31,-17,-1034
5,-19,-983
-15,19,-977
60,11,-958
-27,154,-1011
33,13,-1028
7,-81,-1046
0,-76,-1005
15,-101,-952
-11,-23,-962
11,113,-964
-9,142,-977
-35,128,-1007
23,72,-1018
-29,-37,-1011
0,19,-981
-40,-39,-1007
35,1,-960
-58,27,-1044
37,-21,-1011
-35,-9,-1059
-13,-150,-1044
-50,-19,-1054
-31,-35,-1016
-37,89,-1003
-11,21,-1009
-35,23,-1022
-42,21,-1067
13,-54,-1077
-68,-50,-1054
-11,-156,-1050
-9,-17,-1005
-54,15,-1032
9,58,-1036
-62,-29,-1065
15,-87,-1054
-39,3,-1077
19,-56,-1034
-66,76,-1061
76,-117,-1018
-48,-60,-1059
