x,y,z
-9,21,-1015
-13,33,-1020
-17,33,-1024
-5,13,-1011
-27,39,-1024
1,25,-1013
-17,40,-1018
-11,37,-1013
-9,19,-1013
-21,23,-1015
-21,27,-1013
-17,25,-1018
-19,39,-1007
-11,21,-1011
-27,27,-1024
-1,31,-1015
-25,33,-1020
-19,27,-1013
-13,21,-1015
-15,23,-1018
-5,23,-1005
-13,31,-1018
-11,37,-1009
-13,27,-1018
-15,19,-1013
-13,42,-1007
-9,25,-1015
-25,39,-1015
-9,21,-1013
-23,7,-1020
-23,44,-1015
-5,19,-1018
-15,50,-1009
-3,15,-1005
-21,17,-1015
-13,33,-1018
-17,21,-1020
-3,50,-1007
-9,21,-1016
-27,31,-1011
-11,21,-1007
-27,21,-1020
-21,37,-1013
-11,15,-1016
-15,23,-1015
-1,29,-1018
-19,29,-1013
-13,31,-1015
-15,27,-1013
-5,25,-1016
-7,29,-1009
-5,31,-1024
-5,40,-1013
-11,27,-1013
-15,19,-1009
-5,15,-1020
-15,25,-1007
-5,33,-1016
-23,29,-1016
-15,33,-1015
-21,21,-1011
-23,31,-1018
-1,31,-1015
-13,25,-1020
-13,25,-1009
-21,19,-1016
-11,40,-1018
1,19,-1011
-7,31,-1016
0,31,-1005
-3,17,-1016
-13,29,-1016
-13,35,-1013
-15,35,-1011
-11,31,-1007
-17,35,-1015
-9,27,-1016
-13,40,-1016
-11,33,-1016
-3,31,-1015
-7,33,-1011
-1,21,-1007
-15,39,-1007
-11,40,-1013
-3,27,-1015
-3,25,-1016
-11,7,-1016
-19,42,-1013
-5,37,-1015
-15,29,-1011
-19,25,-1015
-21,19,-1026
-19,37,-1013
-17,42,-1007
-17,19,-1016
-21,21,-1016
-11,15,-1016
-15,35,-1011
-1,40,-1003
-13,19,-1016
-9,31,-1007
-13,17,-1016
-23,23,-1016
-9,44,-1011
-9,19,-1013
-13,35,-1016
-15,9,-1013
-21,27,-1015
-11,35,-1011
-15,19,-1018
-13,33,-1005
-25,9,-1007
-35,29,-1016
-15,31,-1011
-21,17,-1009
-7,23,-1007
-11,19,-1013
0,23,-1018
-15,39,-1020
1,25,-1005
-5,25,-1007
-5,11,-1011
-3,17,-1020
-9,40,-1009
-7,25,-1015
-15,27,-1013
-17,39,-1009
1,13,-1013
-21,46,-1011
-7,19,-1016
-23,35,-1016
-13,33,-1007
-11,13,-1018
-13,44,-1016
-11,21,-1015
-19,40,-1013
-29,31,-1015
-11,13,-1015
-17,35,-1009
-7,19,-1016
-13,40,-1013
-1,31,-1005
-7,23,-1022
-11,31,-1013
-15,44,-1020
-9,21,-1015
-17,39,-1015
-13,1,-1015
-25,40,-1007
-11,29,-1009
-21,42,-1011
-7,29,-1003
-23,7,-1016
-1,31,-1007
-23,33,-1013
-1,44,-1013
-21,35,-1009
0,19,-1018
0,23,-1011
-3,33,-1015
-1,21,-1013
-21,31,-1016
0,13,-1013
-9,25,-1016
-15,40,-1005
-3,31,-1022
-15,29,-1011
-3,25,-1015
-7,19,-1026
-17,33,-1009
-5,19,-1011
-17,33,-1020
-5,29,-1018
-21,25,-1011
-19,39,-1016
-13,29,-1007
-9,33,-1015
-11,29,-1015
-13,7,-1020
-21,29,-1013
-9,31,-1005
-17,21,-1007
-25,21,-1016
-7,7,-1020
-17,42,-1013
-17,21,-1020
-23,40,-1013
-9,15,-1007
-19,21,-1009
-7,35,-1007
-15,35,-1022
-1,39,-1005
-31,21,-1022
0,19,-1009
-31,27,-1018
-17,35,-1018
-7,37,-1022
-15,40,-1009
-11,0,-1013
-11,31,-1018
-7,33,-1013
-3,27,-1020
-15,44,-1009
3,3,-1022
-17,33,-1016
-7,23,-1013
-11,27,-1013
-23,35,-1003
-19,13,-1015
-7,21,-1016
-17,40,-1015
-11,21,-1013
-7,52,-1003
-9,7,-1015
-21,21,-1020
-5,42,-1022
-11,23,-1015
-15,39,-1020
-25,15,-1026
0,17,-1003
-15,35,-1015
-13,25,-1015
-11,44,-1007
-13,9,-1020
-3,27,-1015
-11,21,-1009
-17,31,-1016
-1,40,-1009
-21,25,-1015
-9,21,-1007
1,23,-1011
-3,29,-1015
-9,33,-1013
-9,29,-1022
-13,21,-1013
-13,27,-1022
-17,44,-1018
-11,37,-1009
-11,27,-1013
-11,19,-1022
-17,21,-1015
-21,19,-1013
-9,39,-1015
-13,21,-1013
-15,15,-1020
-7,25,-1018
-17,27,-1022
-9,46,-1016
-11,27,-1015
0,17,-1003
-23,21,-1020
-5,25,-1007
-11,33,-1013
-17,33,-1015
-7,25,-1005
-17,21,-1016
-9,29,-1016
-15,37,-1007
-11,31,-1024
-11,15,-1016
-15,27,-1009
-9,15,-1020
-15,35,-1007
-9,31,-1009
-21,23,-1016
-17,23,-1011
-17,19,-1009
-13,44,-1007
0,25,-1007
-17,29,-1005
-17,25,-1016
-17,21,-1016
-21,31,-1013
-9,35,-1013
-9,27,-1009
-11,25,-1011
-19,27,-1015
-11,29,-1011
-11,31,-1007
-17,21,-1013
-19,21,-1007
-17,19,-1009
-31,35,-1015
-1,37,-1016
-13,25,-1018
-7,35,-1005
-15,13,-1026
-15,37,-1015
-11,33,-1009
-21,31,-1015
-1,27,-1015
-21,27,-1024
-1,29,-1018
-23,39,-1022
-11,21,-1003
